# tracer: function
#
# function latency trace v1.1.5 on 2.6.39
# --------------------------------------------------------------------
# latency: 0 us, #59981/96762, CPU#0 | (M:preempt VP:0, KP:0, SP:0 HP:0 #P:1)
#    -----------------
#    | task: -0 (uid:0 nice:0 policy:0 rt_prio:0)
#    -----------------
#
#                  _------=> CPU#            
#                 / _-----=> irqs-off        
#                | / _----=> need-resched    
#                || / _---=> hardirq/softirq 
#                ||| / _--=> preempt-depth   
#                |||| /     delay             
#  cmd     pid   ||||| time  |   caller      
#     \   /      |||||  \    |   /           
      sh-1       0d... 25361499us+: idle_cpu <-irq_enter
      sh-1       0d.h. 25361504us+: hrtimer_interrupt <-smp_apic_timer_interrupt
      sh-1       0d.h. 25361508us+: ktime_get <-hrtimer_interrupt
      sh-1       0d.h. 25361513us+: _raw_spin_lock <-hrtimer_interrupt
      sh-1       0d.h1 25361517us+: __run_hrtimer <-hrtimer_interrupt
      sh-1       0d.h1 25361521us+: _raw_spin_lock_irqsave <-debug_object_deactivate.part.3
      sh-1       0d.h2 25361526us+: _raw_spin_unlock_irqrestore <-debug_object_deactivate.part.3
      sh-1       0d.h1 25361533us+: _raw_spin_unlock <-__run_hrtimer
      sh-1       0d.h. 25361538us+: tick_sched_timer <-__run_hrtimer
      sh-1       0d.h. 25361541us+: ktime_get <-tick_sched_timer
      sh-1       0d.h. 25361545us+: tick_do_update_jiffies64 <-tick_sched_timer
      sh-1       0d.h. 25361548us+: _raw_spin_lock <-tick_do_update_jiffies64
      sh-1       0d.h1 25361552us+: do_timer <-tick_do_update_jiffies64
      sh-1       0d.h1 25361560us+: calc_global_load <-do_timer
      sh-1       0d.h1 25361565us+: _raw_spin_unlock <-tick_do_update_jiffies64
      sh-1       0d.h. 25361569us+: update_process_times <-tick_sched_timer
      sh-1       0d.h. 25361573us+: account_process_tick <-update_process_times
      sh-1       0d.h. 25361577us+: account_user_time <-account_process_tick
      sh-1       0d.h. 25361581us+: cpuacct_update_stats <-account_user_time
      sh-1       0d.h. 25361584us+: __rcu_read_lock <-cpuacct_update_stats
      sh-1       0d.h. 25361588us+: __rcu_read_unlock <-cpuacct_update_stats
      sh-1       0d.h. 25361592us+: acct_update_integrals <-account_user_time
      sh-1       0d.h. 25361595us+: jiffies_to_timeval <-acct_update_integrals
      sh-1       0d.h. 25361599us+: get_mm_counter <-acct_update_integrals
      sh-1       0d.h. 25361603us+: get_mm_counter <-acct_update_integrals
      sh-1       0d.h. 25361607us+: hrtimer_run_queues <-update_process_times
      sh-1       0d.h. 25361611us+: raise_softirq <-update_process_times
      sh-1       0d.h. 25361615us+: rcu_check_callbacks <-update_process_times
      sh-1       0d.h. 25361619us+: __rcu_pending <-rcu_check_callbacks
      sh-1       0d.h. 25361642us+: raise_softirq <-rcu_check_callbacks
      sh-1       0d.h. 25361646us+: printk_tick <-update_process_times
      sh-1       0d.h. 25361650us+: scheduler_tick <-update_process_times
      sh-1       0d.h. 25361653us+: ktime_get <-sched_clock_tick
      sh-1       0d.h. 25361659us+: _raw_spin_lock <-scheduler_tick
      sh-1       0d.h1 25361663us+: update_rq_clock.part.124 <-scheduler_tick
      sh-1       0d.h1 25361667us+: update_cpu_load <-scheduler_tick
      sh-1       0d.h1 25361672us+: task_tick_fair <-scheduler_tick
      sh-1       0d.h1 25361675us+: update_curr <-task_tick_fair
